Sample,AgeID,ObjID,Actual Full ID,Morphotype_Name
ANT28.056.1,34.36183,obj00004,ANT28-056-13H-2W-109-114cm_obj00004,Acrodin Tip Small Cone Curved Tooth Funnel Root
ANT29.057.1,34.47767,obj00010,ANT29-057-13H-3W-9-12cm_obj00010,Acrodin Tip Funnel 3/4 Root Flat
ANT29.058.1,34.59582,obj00003,ANT29-058-13H-3W-60-63cm_obj00003,Acrodin Tip Funnel 3/4 Root
ANT30.059.1,34.70702,obj00004,ANT30-059-13H-3W-108-111cm_obj00004,Acrodin Tip Funnel 3/4 Root
ANT30.059.1,34.70702,obj00005,ANT30-059-13H-3W-108-111cm_obj00005,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT30.060.1,34.82285,obj00002,ANT30-060-13H-4W-8-11cm_obj00002,Acrodin Tip Standard Root Small Cone
ANT32.063.1,35.18426,obj00001,ANT32-063-13H-5W-14-18cm_obj00001,Acrodin Tip Funnel 3/4 Root Flat
ANT33.065.1,35.52481,obj00001,ANT33-065-13H-6W-11-14cm_obj00001,Patrick Sans Arms Tooth
ANT33.065.1,35.52481,obj00002,ANT33-065-13H-6W-11-14cm_obj00002,Acrodin Tip Skinny Straight 1/2 Root
ANT33.066.1,35.63833,obj00001,ANT33-066-13H-6W-60-65cm_obj00001,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00001,ANT34-067-13H-7W-14-18cm_obj00001,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00002,ANT34-067-13H-7W-14-18cm_obj00002,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00003,ANT34-067-13H-7W-14-18cm_obj00003,Acrodin Tip Concave 1/2 Root Thick Blades
ANT34.067.1,35.87555,obj00004,ANT34-067-13H-7W-14-18cm_obj00004,Acrodin Tip Concave 1/2 Root Thick Blades
ANT34.067.1,35.87555,obj00005,ANT34-067-13H-7W-14-18cm_obj00005,Acrodin Tip Concave 1/2 Root Thick Blades
ANT34.067.1,35.87555,obj00007,ANT34-067-13H-7W-14-18cm_obj00007,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00011,ANT34-067-13H-7W-14-18cm_obj00011,Round Acrodin Tip Small Tooth Flared Blades Large Root
ANT34.068.1,36.22525,obj00001,ANT34-068-14H-2W-56-60cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT34.068.1,36.22525,obj00003,ANT34-068-14H-2W-56-60cm_obj00003,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT35.070.1,36.3765,obj00002,ANT35-070-14H-3W-15-18cm_obj00002,Acrodin Tip Small Spearhead Tooth
ANT35.070.1,36.3765,obj00006,ANT35-070-14H-3W-15-18cm_obj00006,Acrodin Tip Long Dark Root
ANT35.070.1,36.3765,obj00007,ANT35-070-14H-3W-15-18cm_obj00007,Acrodin Tip Small Spearhead Tooth
ANT35.070.1,36.3765,obj00008,ANT35-070-14H-3W-15-18cm_obj00008,Round Clear Tip Flared Blades Dome Root
ANT35.070.1,36.3765,obj00010,ANT35-070-14H-3W-15-18cm_obj00010,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT35.070.1,36.3765,obj00029,ANT35-070-14H-3W-15-18cm_obj00029,Acrodin Tip Long Dark Root
ANT35.070.1,36.3765,obj00030,ANT35-070-14H-3W-15-18cm_obj00030,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT36.071.1,36.44172,obj00003,ANT36-071-14H-3W-62-66cm_obj00003,Acrodin Tip Small Spearhead Pointed Tooth
ANT36.072.1,36.50417,obj00001,ANT36-072-14H-3W-107-111cm_obj00001,Acrodin Tip Beak 1/2 Root Concave Base
ANT37.073.1,36.5791,obj00009,ANT37-073-14H-4W-11-14cm_obj00009,Acrodin Tip Triangle Root Small Cone
ANT37.074.1,36.6471,obj00002,ANT37-074-14H-4W-60-65cm_obj00002,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT38.079.1,37.05647,obj00001,ANT38-079-14H-6W-55-60cm_obj00001,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT38.082.1,37.58101,obj00002,ANT38-082-15H-2W-63-68cm_obj00002,Acrodin Tip Concave 1/2 Root Thick Blades
ANT39.080.1,37.19385,obj00001,ANT39-080-14H-7W-4-17cm_obj00001,Acrodin Tip Small Cone No Blades Dome Root
